High,Low,H_ssa,L_ssa
62300.0,62071.32,1926.4587678058351,1470.226356943141
62485.85,61869.8,4855.146063632867,1217.5747100673525
63266.85,62070.0,3195.734922670659,346.3976817046429
63455.62,54208.6,-458.1906066320853,-478.37046144249774
62768.23,60950.0,-1692.7277685677673,-194.66284039732517
63094.11,62315.71,-883.2911981397085,914.082996857066
63468.14,62201.55,-169.17361804806956,1638.4418629504535
63608.0,59200.0,-681.1830837577041,829.4630317035309
68000.0,52708.36,-813.0062639457751,-1046.9998281675046
65787.99,60520.0,-63.11725364273741,-2127.1409336953916
65800.0,51217.36,981.0356387279919,-1797.271964779012
