date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636765200000,64348.70000000,64400.59000000,64318.89000000,64329.91000000,1.50579800,1636765499999,96900.36503792,223,1.49901300,96463.75964197,0
1636765500000,64320.66000000,64336.55000000,64190.18000000,64269.57000000,0.58280000,1636765799999,37453.11472488,122,0.57635300,37038.81884372,0
1636765800000,64265.60000000,64343.28000000,64209.12000000,64209.12000000,0.45375200,1636766099999,29169.33045230,84,0.45220800,29070.09687697,0
1636766100000,64205.63000000,64259.21000000,64162.89000000,64176.64000000,0.35460800,1636766399999,22768.10776825,70,0.34804300,22346.58882309,0
1636766400000,64176.65000000,64225.54000000,64109.15000000,64120.95000000,0.39395800,1636766699999,25281.97538641,71,0.39018800,25040.08184943,0
1636766700000,64123.49000000,64133.65000000,64064.89000000,64097.84000000,0.56546600,1636766999999,36246.46766749,106,0.56301400,36089.28706059,0
1636767000000,64093.84000000,64173.42000000,64093.84000000,64133.01000000,0.67504400,1636767299999,43291.28086707,119,0.66427200,42600.46606017,0
1636767300000,64132.05000000,64141.89000000,64028.56000000,64028.56000000,0.23726700,1636767599999,15214.98507885,41,0.22610700,14499.50058805,0
1636767600000,64003.02000000,64144.00000000,64003.02000000,64070.80000000,0.97427100,1636767899999,62441.62963199,180,0.96088900,61583.93086866,0
1636767900000,64068.81000000,64069.23000000,63919.57000000,64005.42000000,0.96163800,1636768199999,61557.67456407,173,0.93085300,59586.94092027,0
1636768200000,63969.33000000,64010.88000000,63895.80000000,63921.23000000,0.66273600,1636768499999,42374.67141430,128,0.65492800,41875.45068472,0
1636768500000,63908.92000000,64941.37000000,63830.07000000,63846.58000000,1.51856200,1636768799999,97418.63648386,243,1.32763800,85222.72422481,0
1636768800000,63846.58000000,63940.06000000,63745.55000000,63867.85000000,1.08819300,1636769099999,69512.52834944,169,0.89071000,56913.83731576,0
1636769100000,63872.64000000,63872.64000000,63766.72000000,63793.89000000,0.56089700,1636769399999,35796.96603957,106,0.55619100,35496.65876052,0
1636769400000,63793.89000000,63814.99000000,63744.14000000,63788.10000000,0.66858400,1636769699999,42645.75489881,114,0.63447900,40471.63783235,0
1636769700000,63790.03000000,63825.76000000,63767.95000000,63781.70000000,0.74226300,1636769999999,47354.56068560,130,0.73933100,47167.48484737,0
1636770000000,63785.41000000,63884.66000000,63785.41000000,63881.00000000,0.65503600,1636770299999,41821.51257226,112,0.65403600,41757.66704226,0
1636770300000,63881.04000000,63934.75000000,63851.93000000,63869.05000000,0.43051500,1636770599999,27508.80324874,83,0.42695200,27281.17502313,0
1636770600000,63869.05000000,63958.23000000,63854.46000000,63953.57000000,0.66505200,1636770899999,42486.34526133,128,0.66261600,42330.67077286,0
1636770900000,63953.72000000,64016.00000000,63941.70000000,63987.68000000,0.64554300,1636771199999,41300.65667284,119,0.64240100,41099.59683642,0
1636771200000,63974.94000000,63979.98000000,63900.05000000,63941.79000000,0.42594600,1636771499999,27235.19965175,81,0.41811400,26734.31885962,0
1636771500000,63938.11000000,63993.87000000,63650.07000000,63667.98000000,0.75503400,1636771799999,48166.43969222,165,0.61529500,39268.72960154,0
1636771800000,63655.53000000,63844.20000000,63578.96000000,63696.04000000,1.12520400,1636772099999,71720.97224933,237,1.07278800,68382.19941500,0
1636772100000,63683.91000000,63739.28000000,63661.54000000,63699.60000000,0.47475400,1636772399999,30236.78945775,98,0.46800100,29806.65725741,0
