Open_time,Open,High,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1633374000000,49318.01000000,49832.09000000,48893.44000000,49362.60000000,20.61330600,1633377599999,1013708.76406681,3402,19.31608300,949943.09403887,0
1633377600000,49362.60000000,49788.71000000,47000.00000000,49005.48000000,17.94283700,1633381199999,881850.25211886,2688,16.63473100,817636.52588687,0
1633381200000,49005.80000000,52510.13000000,42473.32000000,48926.24000000,16.51224800,1633384799999,798534.64441819,2499,14.19131000,694235.45615565,0
1633384800000,48927.33000000,49040.90000000,48694.71000000,48930.46000000,14.82735900,1633388399999,724459.42600384,2362,14.16705100,692220.52808587,0
1633388400000,48914.03000000,49440.79000000,48900.24000000,49217.51000000,18.30820700,1633391999999,901618.58184679,2469,15.98601900,787119.98706550,0
1633392000000,49222.44000000,49777.39000000,49046.76000000,49506.75000000,20.13530700,1633395599999,994936.96445561,2810,19.92814500,984720.11371992,0
1633395600000,49527.00000000,49595.98000000,49169.04000000,49239.37000000,15.74792600,1633399199999,777053.05240592,2116,15.67858700,773634.70514404,0
1633399200000,49243.03000000,49374.01000000,49051.55000000,49321.39000000,13.60304200,1633402799999,669559.96460136,1847,13.56703500,667788.51961304,0
1633402800000,49324.83000000,69586.94000000,43907.30000000,49306.67000000,17.83202700,1633406399999,874710.66950122,2311,14.10695200,696283.46641539,0
1633406400000,49303.06000000,49346.81000000,49027.02000000,49166.71000000,11.54864700,1633409999999,568213.04337656,1598,11.41504700,561650.09450074,0
1633410000000,49142.95000000,49407.86000000,49138.79000000,49325.51000000,12.01454000,1633413599999,592128.25628296,1743,10.74775500,529679.25056326,0
1633413600000,49325.01000000,49470.00000000,49257.00000000,49290.44000000,10.51295200,1633417199999,518955.78598695,1532,10.07488200,497337.50545293,0
1633417200000,49295.89000000,49645.55000000,49251.84000000,49477.76000000,13.17667600,1633420799999,651852.55334588,2043,12.89757300,638053.57040281,0
1633420800000,49476.52000000,49949.99000000,49386.74000000,49920.67000000,16.82675300,1633424399999,835565.65342329,2403,15.46292700,767685.12267587,0
1633424400000,49919.50000000,50296.23000000,49561.52000000,50271.23000000,22.27426500,1633427999999,1113207.52598772,3292,20.48908900,1023977.22484296,0
1633428000000,50269.36000000,51677.00000000,49130.00000000,50000.96000000,17.86332500,1633431599999,895447.03822836,2575,16.39839500,822095.49422705,0
1633431600000,49999.98000000,50140.75000000,37752.50000000,49879.97000000,23.11312300,1633435199999,1103863.16968888,2574,18.73509200,914128.99305014,0
1633435200000,49873.10000000,50090.00000000,49705.01000000,49991.45000000,23.49467200,1633438799999,1173506.91428883,2734,19.53027500,975365.80778173,0
1633438800000,49992.21000000,50302.78000000,49559.25000000,50204.21000000,18.01786400,1633442399999,901574.84970463,2617,16.99390000,850302.10124690,0
1633442400000,50206.57000000,50355.73000000,49600.01000000,49839.54000000,21.30607600,1633445999999,1065216.84182394,3365,20.11991600,1005906.68299252,0
1633446000000,49843.92000000,50231.65000000,37752.50000000,49790.27000000,22.03637700,1633449599999,1089868.13613241,3332,19.33783000,961549.55940314,0
1633449600000,49793.58000000,50109.06000000,49647.13000000,50100.92000000,17.88215600,1633453199999,892482.38380230,2850,15.88078400,792528.56149207,0
1633453200000,50103.86000000,50199.04000000,37752.50000000,50148.32000000,14.52960700,1633456799999,718934.39847555,2277,12.75030900,637604.50824963,0
1633456800000,50146.52000000,50737.97000000,49680.03000000,50612.44000000,19.17036100,1633460399999,966739.80183155,2968,18.40022900,928039.60208283,0
1633460400000,50611.31000000,51411.00000000,50500.00000000,51180.01000000,19.97941700,1633463999999,1016157.66032678,3436,19.24928100,979050.56989743,0
1633464000000,51182.52000000,90000.00000000,37752.50000000,51455.84000000,23.27189900,1633467599999,1188593.92538158,3786,21.14330500,1089743.52323713,0
1633467600000,51467.22000000,57826.58000000,51253.21000000,51731.91000000,16.61208800,1633471199999,857402.59163374,2544,16.22893000,837471.92663927,0
1633471200000,51718.61000000,53230.00000000,45927.85000000,51346.69000000,17.34500100,1633474799999,887930.21337293,2614,16.67463700,853599.48103544,0
1633474800000,51346.76000000,57826.58000000,37752.50000000,51453.75000000,14.91608700,1633478399999,755753.22570939,2232,13.44668300,692078.45998878,0
1633478400000,51454.51000000,51600.00000000,51201.66000000,51324.34000000,15.89804100,1633481999999,815688.65313755,2310,15.63947400,802420.78123632,0
1633482000000,51324.34000000,57826.58000000,45097.56000000,51279.00000000,18.45110700,1633485599999,943035.25919583,2881,16.36634000,838050.41284963,0
1633485600000,51278.96000000,51589.51000000,42599.03000000,51545.59000000,15.78014200,1633489199999,805539.47885275,2239,12.71552700,652823.73919432,0
1633489200000,51545.56000000,51600.02000000,51300.00000000,51529.05000000,14.48115700,1633492799999,745605.12801418,2151,13.12844600,675932.04878364,0
1633492800000,51508.54000000,51582.00000000,51238.04000000,51325.82000000,14.73050200,1633496399999,757039.04957915,2336,14.10171300,724729.35694025,0
1633496400000,51320.07000000,51826.00000000,51198.71000000,51521.80000000,19.12418400,1633499999999,984150.44227854,3042,16.89627800,869328.49115167,0
1633500000000,51512.36000000,51713.31000000,51453.30000000,51514.95000000,14.21952400,1633503599999,733672.40953696,2406,12.78994700,659927.21754400,0
1633503600000,51507.18000000,51562.15000000,51207.33000000,51452.73000000,19.59427500,1633507199999,1007275.36237509,3028,17.42722000,895858.42184942,0
1633507200000,51450.00000000,51497.42000000,41370.89000000,50693.37000000,24.58601100,1633510799999,1249250.55953355,4078,22.69707900,1153929.08739590,0
1633510800000,50671.30000000,50817.64000000,40932.69000000,50696.78000000,26.42205200,1633514399999,1293526.08902176,3947,23.47365900,1147810.59314987,0
1633514400000,50684.74000000,57826.58000000,42599.03000000,51155.83000000,28.93233500,1633517999999,1467713.54596788,4695,22.38916900,1143804.83687826,0
